"ID_E","lieu"
"ID_E_31","Varsovie"
"ID_E_31","Moscou"
"ID_E_29","Minneapolis"
"ID_E_29","Chicago"
"ID_E_29","Detroit"
"ID_E_29","San Francisco"
"ID_E_22","Amsterdam"
"ID_E_22","Otterlo"
"ID_E_20","Washington D.C."
"ID_E_20","Cleveland"
"ID_E_20","St Louis"
"ID_E_20","Cambridge"
"ID_E_20","New York"
"ID_E_2","Strasbourg"
"ID_E_2","Nancy"
"ID_E_2","Besancon"
"ID_E_11","Buenos Aires"
"ID_E_11","Santiago"
"ID_E_11","Caracas"
"ID_E_11","Montevideo"
"ID_E_1","Baden-Baden"
"ID_E_1","Mayence"
